Experiment,MAE,RMSE,R2
Without FinBERT Sentiment,151.52088193736594,499.4092234153452,0.9064568433628746
With FinBERT Sentiment,151.6654327509154,499.71898418606577,0.9063407662654464
Impact / Delta (With vs Without),0.14455081354944355,0.3097607707205725,-0.00011607709742822436
