Model,MAE,RMSE,R2,Fit Diagnosis
Ridge,2.6353988318885464,4.882998804671419,0.9999910591850064,TimeSeriesSplit Validated
Naive Baseline (Random Walk),5.784727953764018,16.995307026687918,0.9998916916594476,TimeSeriesSplit Validated
GRU,60.01244853476266,77.71126027567165,0.02100421231592715,TimeSeriesSplit Validated
BiLSTM,67.33537022734947,82.93553021568242,0.06354323215778108,TimeSeriesSplit Validated
Transformer,179.48462595025504,204.9438433161163,-2.099296554834963,TimeSeriesSplit Validated
LSTM,185.62902249414302,208.0236451806393,-1.9166826700690007,TimeSeriesSplit Validated
Random Forest,116.25962600347984,433.2189156198357,0.9296249535731104,TimeSeriesSplit Validated
XGBoost,142.19801133123278,480.2594416781065,0.9135120315806626,TimeSeriesSplit Validated
SVR,403.5565041202799,1445.69276479192,0.2162890991641768,TimeSeriesSplit Validated
