Model,MAE,RMSE,R2
Naive Baseline (Random Walk),5.784727953764018,16.995307026687918,0.9998916916594475
Ridge,2.6353988318885464,4.882998804671419,0.9999910591850063
Random Forest,116.25962600347985,433.2189156198357,0.9296249535731104
XGBoost,142.19801133123278,480.2594416781065,0.9135120315806626
SVR,403.5565041202799,1445.69276479192,0.21628909916417682
