Ticker,Max-Sharpe Weight (SLSQP),Monte-Carlo Weight
AAPL,0.11862769404961807,0.17188703966143334
CAT,0.11137786424235434,0.08266451876319575
HD,0.021471647710607722,0.01430835743410316
JNJ,0.15673332230194834,0.12423129949737281
JPM,0.12579719985822957,0.03218672630283328
KO,0.039355582497557204,0.16489454563085285
MSFT,0.10052221790967693,0.08680769382645005
NVDA,0.2064765166510442,0.1704100617877819
PG,0.0,0.010940985811968871
XOM,2.0829434245876262e-17,0.00963027204133673
^GSPC,1.7994126278749552e-17,0.018946123756237315
^VIX,0.11963795477896375,0.11309237548643392
