Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,MA20,MA50,Volatility,Target
2016-07-25,36.980499267578125,36.980499267578125,37.42499923706055,36.76750183105469,37.32749938964844,53586000,-0.00704832485901663,36.69049987792969,36.080119934082035,0.009221113800938681,36.77949905395508
2016-07-26,36.77949905395508,36.77949905395508,37.15650177001953,36.63750076293945,37.135501861572266,50594000,-0.005435302865131164,36.80107479095459,36.10578994750976,0.00886792960083335,36.83349990844727
2016-07-27,36.83349990844727,36.83349990844727,37.047000885009766,36.69300079345703,36.89849853515625,58262000,0.0014682324632255828,36.87287483215332,36.131799926757814,0.007386755390378317,37.63050079345703
2016-07-28,37.63050079345703,37.63050079345703,37.667999267578125,36.98500061035156,37.29899978637695,152352000,0.02163793522176194,36.96539993286133,36.189139938354494,0.008393632308507596,37.94049835205078
2016-07-29,37.94049835205078,37.94049835205078,38.29999923706055,37.75,38.25,135542000,0.008237933380032203,37.07337493896485,36.250499877929684,0.00846386296093732,38.387001037597656
2016-08-01,38.387001037597656,38.387001037597656,38.525001525878906,37.85300064086914,37.993499755859375,71564000,0.011768498173212238,37.1785249710083,36.31971992492676,0.008320256541837857,38.02899932861328
2016-08-02,38.02899932861328,38.02899932861328,38.2504997253418,37.85100173950195,38.19049835205078,72066000,-0.009326118199067812,37.25972499847412,36.377499923706054,0.00875217404748029,37.73199844360352
2016-08-03,37.73199844360352,37.73199844360352,37.94449996948242,37.61249923706055,37.85300064086914,71630000,-0.007809852750616408,37.302299880981444,36.435389862060546,0.008635062162810936,38.03850173950195
2016-08-04,38.03850173950195,38.03850173950195,38.25,37.51750183105469,37.685001373291016,63564000,0.008123166239300872,37.36280002593994,36.49195991516113,0.008747122484052903,38.29899978637695
2016-08-05,38.29899978637695,38.29899978637695,38.42350006103516,38.15449905395508,38.240501403808594,54088000,0.0068482730644587875,37.41322498321533,36.54958992004394,0.008461927248618748,38.32799911499024
2016-08-08,38.32799911499024,38.32799911499024,38.34999847412109,38.05099868774414,38.34049987792969,39726000,0.0007571824009775519,37.44517498016358,36.60123992919922,0.008172845270802752,38.41550064086914
2016-08-09,38.41550064086914,38.41550064086914,38.630001068115234,38.345001220703125,38.36949920654297,37522000,0.0022829661839738336,37.49542503356934,36.657309951782224,0.00794111217914873,38.428001403808594
2016-08-10,38.428001403808594,38.428001403808594,38.60499954223633,38.30950164794922,38.4900016784668,32086000,0.0003254093459907903,37.56025009155274,36.70307998657226,0.0076726162340565495,38.5620002746582
2016-08-11,38.5620002746582,38.5620002746582,38.6875,38.45600128173828,38.49700164794922,40394000,0.003487011188573863,37.6353500366211,36.75487998962402,0.007631668642593981,38.62799835205078
2016-08-12,38.62799835205078,38.62799835205078,38.657501220703125,38.42100143432617,38.42300033569336,31266000,0.0017114796152302159,37.7281499862671,36.799199981689455,0.007277985320311443,38.42449951171875
2016-08-15,38.42449951171875,38.42449951171875,38.60200119018555,38.385501861572266,38.595001220703125,42370000,-0.005268169437032899,37.809199905395516,36.84214996337891,0.007476486985757209,38.20199966430664
2016-08-16,38.20199966430664,38.20199966430664,38.436500549316406,38.19100189208984,38.430999755859375,32092000,-0.005790572427475604,37.869424819946296,36.87945999145508,0.0076433687413996546,38.23149871826172
2016-08-17,38.23149871826172,38.23149871826172,38.26100158691406,37.959999084472656,38.22050094604492,37822000,0.0007721861215197467,37.916699790954596,36.92034996032715,0.0075052189305138,38.22299957275391
2016-08-18,38.22299957275391,38.22299957275391,38.25849914550781,38.02999877929688,38.20000076293945,29176000,-0.00022230741123796527,37.966774749755864,36.95816993713379,0.007480935799471261,37.865501403808594
2016-08-19,37.865501403808594,37.865501403808594,38.1245002746582,37.84450149536133,38.095001220703125,46864000,-0.00935295955161386,37.997899818420414,36.987829971313474,0.007855424274192972,37.9739990234375
2016-08-22,37.9739990234375,37.9739990234375,37.99250030517578,37.60499954223633,37.875,33586000,0.002865342214060762,38.04757480621338,37.029399948120115,0.007640077575804325,38.122501373291016
2016-08-23,38.122501373291016,38.122501373291016,38.23500061035156,38.04999923706055,38.16550064086914,30482000,0.003910632371425082,38.11472492218018,37.076609954833984,0.007487248883921741,37.86249923706055
2016-08-24,37.86249923706055,37.86249923706055,38.170501708984375,37.76800155639648,38.150001525878906,34882000,-0.006820175142353779,38.16617488861085,37.114559936523435,0.007733164377043738,37.96099853515625
2016-08-25,37.96099853515625,37.96099853515625,38.02799987792969,37.73699951171875,37.79999923706055,32460000,0.0026015001671968463,38.18269977569581,37.15951988220215,0.006114036996235425,38.45000076293945
2016-08-26,38.45000076293945,38.45000076293945,38.5,37.9900016784668,38.00249862670898,55536000,0.012881700868071944,38.20817489624024,37.2110099029541,0.006501082788707998,38.56449890136719
2016-08-29,38.56449890136719,38.56449890136719,38.749000549316406,38.43000030517578,38.43600082397461,43972000,0.002977844893519377,38.217049789428714,37.275909881591794,0.005989493544237536,38.37900161743164
2016-08-30,38.37900161743164,38.37900161743164,38.59199905395508,38.27799987792969,38.5525016784668,34184000,-0.004810053007818782,38.234549903869635,37.3294799041748,0.005687055986113898,38.45800018310547
2016-08-31,38.45800018310547,38.45800018310547,38.48199844360352,38.20000076293945,38.33000183105469,32676000,0.0020583799042324102,38.270849990844724,37.38281990051269,0.005348574447324766,38.53099822998047
2016-09-01,38.53099822998047,38.53099822998047,38.60200119018555,38.337501525878906,38.54499816894531,35846000,0.0018981238371065245,38.29547481536865,37.44283988952637,0.005084836688702313,38.62200164794922
2016-09-02,38.62200164794922,38.62200164794922,38.79999923706055,38.584999084472656,38.70550155639648,43636000,0.00236182352259795,38.311624908447264,37.4931999206543,0.004892594359807507,39.44350051879883
2016-09-06,39.44350051879883,39.44350051879883,39.4739990234375,38.51100158691406,38.70199966430664,74396000,0.021270230329795137,38.36739997863769,37.58310989379883,0.0067587172274600335,39.2239990234375
2016-09-07,39.2239990234375,39.2239990234375,39.53950119018555,39.21649932861328,39.47650146484375,48492000,-0.005564959815286041,38.40782489776611,37.676229858398436,0.006933789971177606,39.20299911499024
2016-09-08,39.20299911499024,39.20299911499024,39.32500076293945,39.071998596191406,39.19449996948242,40610000,-0.00053538417729182,38.4465747833252,37.75233985900879,0.006941287467577142,38.00699996948242
2016-09-09,38.00699996948242,38.00699996948242,39.04999923706055,38.00550079345703,38.96799850463867,85146000,-0.030507848187831588,38.41882476806641,37.7968798828125,0.009856048588837948,38.574501037597656
2016-09-12,38.574501037597656,38.574501037597656,38.632999420166016,37.79999923706055,37.86750030517578,62494000,0.014931488109319435,38.41614990234375,37.85274993896484,0.010450143458814051,38.05049896240234
2016-09-13,38.05049896240234,38.05049896240234,38.49449920654297,37.95249938964844,38.4384994506836,62344000,-0.01358415691973791,38.39744987487793,37.88807991027832,0.01082865839502082,38.054500579833984
2016-09-14,38.054500579833984,38.054500579833984,38.375,37.942501068115234,38.11000061035156,50460000,0.00010516596472487372,38.3900749206543,37.921069946289066,0.01075513236383773,38.484500885009766
2016-09-15,38.484500885009766,38.484500885009766,38.54349899291992,37.87900161743164,38.09999847412109,60680000,0.011299591339365866,38.402725028991696,37.953149948120114,0.011055450957364356,38.92599868774414
2016-09-16,38.92599868774414,38.92599868774414,39.02299880981445,38.58300018310547,38.66400146484375,109984000,0.011472093767138869,38.437874984741214,37.99509994506836,0.011327374798148467,38.755001068115234
2016-09-19,38.755001068115234,38.755001068115234,39.09700012207031,38.54999923706055,38.99850082397461,45944000,-0.004392889723924931,38.482349967956544,38.02438995361328,0.01114218394225953,39.01100158691406
2016-09-20,39.01100158691406,39.01100158691406,39.06850051879883,38.79999923706055,38.79999923706055,38744000,0.006605612482086798,38.53420009613037,38.05083000183105,0.011202462806913947,39.48699951171875
2016-09-21,39.48699951171875,39.48699951171875,39.53450012207031,38.95050048828125,39.16249847412109,54372000,0.012201633012272062,38.602425003051756,38.09236000061035,0.011450607101502388,40.23500061035156
2016-09-22,40.23500061035156,40.23500061035156,40.29449844360352,39.7135009765625,39.7135009765625,81578000,0.018942971304031886,38.721050071716306,38.15443000793457,0.011868667493598386,40.28749847412109
