Date,Ticker,Sentiment_Score,FinBERT_Pos,FinBERT_Neg
2026-08-17,NVDA,0.48273766,0.5244588,0.04172116
2026-08-19,PG,0.041075524,0.055721357,0.0146458335
2026-08-20,CAT,0.40492764,0.4982682,0.093340516
2026-08-20,HD,-0.009382652,0.09790219,0.10728485
2026-08-20,JNJ,0.4371563,0.5361856,0.09902931
2026-08-20,PG,-0.9498262,0.015964236,0.9657904
2026-08-21,AAPL,-0.24552049,0.09945172,0.34497222
2026-08-21,CAT,-0.45835763,0.07921495,0.53757256
2026-08-21,HD,-0.092062905,0.06715768,0.15922059
2026-08-21,JNJ,0.19149417,0.36131626,0.16982208
2026-08-21,JPM,0.17421119,0.4176399,0.24342875
2026-08-21,KO,0.22362047,0.26363623,0.040015757
2026-08-21,MSFT,-0.0046205027,0.16388611,0.1685066
2026-08-21,NVDA,-0.28305653,0.20327513,0.48633167
2026-08-21,PG,0.29492947,0.32020634,0.025276866
2026-08-21,XOM,-0.15564415,0.27495372,0.43059787
2026-08-22,AAPL,0.016575849,0.03501065,0.018434802
2026-08-22,HD,0.07339804,0.121696986,0.048298944
2026-08-22,KO,0.3386432,0.35173833,0.01309514
2026-08-22,NVDA,0.012561686,0.16162817,0.14906648
2026-08-22,XOM,0.0060477853,0.037560754,0.03151297
